political,missing_multiplier,time_multiplier,target_multiplier,county_shared,exclude_flagged,year,winner,measure,p05,median,p95,fixed_population
proportional,1.0,1.0,1.0,False,False,2032,Harris,operating_project_count,116.0,126.0,134.0,81424822.0
proportional,1.0,1.0,1.0,False,False,2032,Harris,operating_gw_per_listed_proposal,0.031148782188487906,0.09644321253732219,0.2049442425188219,81424822.0
proportional,1.0,1.0,1.0,False,False,2032,Trump/Harris,intensity_ratio,3.180031619713977,4.205099656995483,5.450067304490139,
proportional,1.0,1.0,1.0,False,False,2034,Trump,operating_gw,132.73938428728476,172.60449126678748,211.06223147062636,39252529.0
proportional,1.0,1.0,1.0,False,False,2034,Trump,mw_per_1000_fixed_host_population,3.381677249057883,4.397283325789976,5.377035234357162,39252529.0
proportional,1.0,1.0,1.0,False,False,2034,Trump,mw_per_1000_operating_host_population,4.307926775653387,5.407835023339031,6.60015587243101,39252529.0
proportional,1.0,1.0,1.0,False,False,2034,Trump,operating_host_residents_millions,28.493056799999998,31.6250485,35.136278399999995,39252529.0
proportional,1.0,1.0,1.0,False,False,2034,Trump,operating_project_count,207.0,229.0,245.0,39252529.0
proportional,1.0,1.0,1.0,False,False,2034,Trump,operating_gw_per_listed_proposal,0.20111434122950206,0.3988150448270582,0.6170836910945412,39252529.0
proportional,1.0,1.0,1.0,False,False,2034,Harris,operating_gw,60.756926234367555,77.16935471287238,97.14092733255328,81424822.0
proportional,1.0,1.0,1.0,False,False,2034,Harris,mw_per_1000_fixed_host_population,0.7461720485476476,0.947737468960907,1.193013689763464,81424822.0
proportional,1.0,1.0,1.0,False,False,2034,Harris,mw_per_1000_operating_host_population,0.8373152901506145,1.0544226977122433,1.324961966914127,81424822.0
proportional,1.0,1.0,1.0,False,False,2034,Harris,operating_host_residents_millions,69.9965354,73.1312515,76.05041159999999,81424822.0
proportional,1.0,1.0,1.0,False,False,2034,Harris,operating_project_count,120.0,128.0,136.0,81424822.0
